127.0.0.1 - - [11/Jun/2024:11:54:47 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Jun/2024:11:54:49 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain.jsp HTTP/1.1" 200 8953
0:0:0:0:0:0:0:1 - - [11/Jun/2024:11:54:49 +0900] "GET /JspStudy/ProjectFile/bootEx/images/office2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:11:54:49 +0900] "GET /JspStudy/ProjectFile/bootEx/images/office1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:11:54:49 +0900] "GET /JspStudy/ProjectFile/bootEx/images/office3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:11:54:49 +0900] "GET /JspStudy/ProjectFile/bootEx/images/samsung.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2024:11:54:49 +0900] "GET /JspStudy/ProjectFile/bootEx/images/women.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:11:54:49 +0900] "GET /JspStudy/ProjectFile/bootEx/images/car.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:11:54:49 +0900] "GET /JspStudy/ProjectFile/bootEx/images/man.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2024:11:54:49 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [11/Jun/2024:11:55:13 +0900] "GET /JspStudy/ProjectFile/bootEx/bootService3.jsp?search_username=samsung HTTP/1.1" 200 5425
0:0:0:0:0:0:0:1 - - [11/Jun/2024:11:55:13 +0900] "GET /JspStudy/ProjectFile/bootEx/images/samsung.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2024:11:55:45 +0900] "GET /JspStudy/ProjectFile/bootEx/bootService3.jsp?search_username=samsung HTTP/1.1" 200 5425
0:0:0:0:0:0:0:1 - - [11/Jun/2024:11:55:45 +0900] "GET /JspStudy/ProjectFile/bootEx/images/samsung.png HTTP/1.1" 404 870
